media_name,url,image_path,timestamp,country,factuality,trustworthiness,bias,genre,credibility,media_type,freedom_rating,traffic,genre_class
Peninsula Daily News,https://peninsuladailynews.com,sub-samples/Peninsula_Daily_News.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Petersburg Progress-Index,https://progress-index.com,sub-samples/Petersburg_Progress-Index.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Pew Research,https://pewresearch.org,sub-samples/Pew_Research.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Pollsters,HIGH CREDIBILITY,,,,OTHER
Public Religion Research Institute,https://prri.org,sub-samples/Public_Religion_Research_Institute.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
RT News,https://rt.com,sub-samples/RT_News.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT-CENTER,Conspiracy,LOW CREDIBILITY,TV,,,CONSPIRACY
Rappanhannock News,https://rappnews.com,sub-samples/Rappanhannock_News.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Raw Story,https://rawstory.com,sub-samples/Raw_Story.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,Politics,HIGH CREDIBILITY,,,,OTHER
Real Climate Science,https://realclimatescience.com,sub-samples/Real_Climate_Science.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Red Ice TV,https://redice.tv,sub-samples/Red_Ice_TV.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,EXCELLENT,,CONSPIRACY
Red River Valley News,https://valleynewslive.com,sub-samples/Red_River_Valley_News.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,TV,MOSTLY FREE,,OTHER
Renew America,https://renewamerica.com,sub-samples/Renew_America.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Roll Call,https://rollcall.com,sub-samples/Roll_Call.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Rome News-Tribune,https://northwestgeorgianews.com/rome/,sub-samples/Rome_News-Tribune.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Rossland News,https://rosslandnews.com,sub-samples/Rossland_News.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Ruth Institute,https://ruthinstitute.org,sub-samples/Ruth_Institute.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Santa Monica Observer,https://smobserved.com,sub-samples/Santa_Monica_Observer.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,MOSTLY FREE,,IMPOSTER
ScienceClowns,https://scienceclowns.com,sub-samples/ScienceClowns.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Sentencing Project,https://sentencingproject.org,sub-samples/Sentencing_Project.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Political Advocacy,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Shoreline Beacon,https://shorelinebeacon.com,sub-samples/Shoreline_Beacon.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Sludge,https://readsludge.com,sub-samples/Sludge.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Sputnik,https://sputnikglobe.com,sub-samples/Sputnik.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT-CENTER,General News,LOW CREDIBILITY,,,,OTHER
St. George Spectrum,https://thespectrum.com,sub-samples/St._George_Spectrum.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Stettler Independent,https://stettlerindependent.com,sub-samples/Stettler_Independent.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Strathroy Age Dispatch,https://strathroyagedispatch.com,sub-samples/Strathroy_Age_Dispatch.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Survival.News,https://survival.news,sub-samples/Survival.News_1.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Survive The News,https://survivethenews.com,sub-samples/Survive_The_News.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
TechGiants.News,https://techgiants.news,sub-samples/TechGiants.News_1.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
Technocrats.News,https://technocrats.news,sub-samples/Technocrats.News_1.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
TheSpectator.info,https://thespectator.info,sub-samples/TheSpectator.info_1.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
The Bearded Patriot,https://thebeardedpatriot.com,sub-samples/The_Bearded_Patriot.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
The Colorado Herald,https://thecoloradoherald.com,sub-samples/The_Colorado_Herald.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Imposter/Pink Slime,LOW CREDIBILITY,,,,IMPOSTER
The Dispatch,https://thedispatch.com,sub-samples/The_Dispatch.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Politics,HIGH CREDIBILITY,,,,OTHER
The Federation for American Immigration Reform,https://fairus.org,sub-samples/The_Federation_for_American_Immigration_Reform.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
The Gateway Pundit,https://thegatewaypundit.com,sub-samples/The_Gateway_Pundit.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
The Phaser,https://thephaser.com,sub-samples/The_Phaser.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
The Post-Journal,https://www.post-journal.com/,sub-samples/The_Post-Journal.png,2026-06-05 01:48:52,USA,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Them.us,https://them.us,sub-samples/Them.us_1.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
ThoughtCo,https://thoughtco.com,sub-samples/ThoughtCo.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Education,HIGH CREDIBILITY,,,,OTHER
TorrentFreak,https://torrentfreak.com,sub-samples/TorrentFreak.png,2026-06-05 01:48:52,,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Trentonian,https://trentonian.ca,sub-samples/Trentonian.png,2026-06-05 01:48:52,,HIGH,1,RIGHT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
Tri-City News,https://tricitynews.com,sub-samples/Tri-City_News.png,2026-06-05 01:48:52,,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,EXCELLENT,,OTHER
TruckingDive,https://truckingdive.com,sub-samples/TruckingDive.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Truth for Health Foundation,https://truthforhealth.org,sub-samples/Truth_for_Health_Foundation.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
TruthorFiction.com,https://truthorfiction.com,sub-samples/TruthorFiction.com.png,2026-06-05 01:48:52,USA,VERY HIGH,1,LEAST BIASED,Fact Checkers,HIGH CREDIBILITY,,,,OTHER
Turley Talks,https://turleytalks.com,sub-samples/Turley_Talks.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Tyranny.News,https://tyranny.news,sub-samples/Tyranny.News_1.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
US Backlash,https://usbacklash.org,sub-samples/US_Backlash.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
UtilityDive,https://utilitydive.com,sub-samples/UtilityDive.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
VaccineDamage.News,https://vaccinedamage.news,sub-samples/VaccineDamage.News.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
VaccineInjuryNews,https://vaccineinjurynews.com,sub-samples/VaccineInjuryNews.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Vaccine Impact,https://vaccineimpact.com,sub-samples/Vaccine_Impact.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,MOSTLY FREE,,PSEUDOSCIENCE
Vaccines and Christianity,https://vaccinesandchristianity.org,sub-samples/Vaccines_and_Christianity.png,2026-06-05 01:48:52,USA,VERY LOW,0,RIGHT,Pseudoscience,LOW CREDIBILITY,,,,PSEUDOSCIENCE
Vigilante.TV,https://vigilante.TV,sub-samples/Vigilante.TV.png,2026-06-05 01:48:52,,VERY LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
WBEZ - NPR - Chicago,https://wbez.org,sub-samples/WBEZ_-_NPR_-_Chicago.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,General News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
WBND - South Bend News,https://abc57.com,sub-samples/WBND_-_South_Bend_News.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,TV,MOSTLY FREE,,OTHER
Washington Stand,https://washingtonstand.com,sub-samples/Washington_Stand.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
We Hunted the Mammoth,https://wehuntedthemammoth.com,sub-samples/We_Hunted_the_Mammoth.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Wichita Times Record-News,https://timesrecordnews.com,sub-samples/Wichita_Times_Record-News.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,,,OTHER
Wyofile,https://wyofile.com,sub-samples/Wyofile.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT,Politics,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
XYZ.net.au,https://xyz.net.au,sub-samples/XYZ.net.au.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,,,CONSPIRACY
X Strategies,https://xstrategies.com,sub-samples/X_Strategies.png,2026-06-05 01:48:52,USA,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
Yadkin Ripple,https://yadkinripple.com,sub-samples/Yadkin_Ripple.png,2026-06-05 01:48:52,USA,HIGH,1,LEFT-CENTER,Local News,HIGH CREDIBILITY,,MOSTLY FREE,,OTHER
Zerohedge,https://zerohedge.com,sub-samples/Zerohedge.png,2026-06-05 01:48:52,,LOW,0,RIGHT,Conspiracy,LOW CREDIBILITY,,MOSTLY FREE,,CONSPIRACY
azfamily.com,https://azfamily.com,sub-samples/azfamily.com.png,2026-06-05 01:48:52,USA,HIGH,1,LEAST BIASED,Local News,HIGH CREDIBILITY,TV,MOSTLY FREE,,OTHER
